profileUrl,postContent,Linked Record Field,Themes,Content Format,type,First Name (from Linked Record Field),Last Name (from Linked Record Field),Company (from Linked Record Field),Industry (from Linked Record Field),Title (from Linked Record Field),timestamp,postUrl,imgUrl,Created/Cultivated/Curated,error,Subthemes,Thought Leadership?,likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,Weekday,Time of Post,Date of Post,Day of the Week,3/24-4/23?,Posts vs Engagements,Hour of Post,Month of Post,4/23-5/23?,documentTitle,documentPageCount,thought leadership,Total Engagement,AI/ML,CC,DA,DC,DEI,DT,EO,Env,Geo,HCD,HI,HO,I,OCM,PD,Reg,RD,SC,T,UX
https://www.linkedin.com/in/aarthimurali/,"There is something special about spending time with teammates in person, beaming with pride about their work and the ownership they take in delivering for our clients and teammates. That’s purpose in action, and that’s how we’ll continue to be #UnstoppableTogether #TeamRaleigh

Erin Nash Dan Mauney Mikey Cestari Andrea Pennycooke Nagesh Tadepalli Satya Acharya Chris Detzi Michelle B. Davis, PMP Saloni Uboweja Jennifer Herring",https://www.linkedin.com/in/aarthimurali/,MISC,,Image,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:08,https://www.linkedin.com/feed/update/urn:li:activity:7202248057814401024,https://media.licdn.com/dms/image/D4E22AQH8SQ2EphIJTw/feedshare-shrink_800/0/1717117678755?e=1722470400&v=beta&t=ohpG08L9ZLQARLD78ds2E6QmrFlBV3Z4sgK4ef6LZGs,,,,,237,11,0,1mo,,,,Aarthi Murali celebrates this,Celebrates,,2024-05-31 10:02,,,,,,,,,Friday,2:02 PM,5/31/2024,Friday,,Engagement,2-3pm,,,,,,248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
https://www.linkedin.com/in/aarthimurali/,"Congratulations to my daughter Abby on her graduation from Wake Forest! She is a bright, thoughtful, amazing young woman. Check out this photo of her presenting her honors thesis. She majored in Applied Statistics with a Minor in Math and Computer Science and will be taking the business world by storm at Morgan Stanley.

I am so proud of her and looking forward to seeing the impact she will make on the world.",https://www.linkedin.com/in/aarthimurali/,MISC,,Image,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:08,https://www.linkedin.com/feed/update/urn:li:activity:7204250373149081600,https://media.licdn.com/dms/image/D4E10AQEz3sSzlXDQ7A/image-shrink_800/0/1718589929030?e=1720458000&v=beta&t=OGz99LC3G5YMQJyskPDf_to0Ib_nwRraIj96Ii63MyA,,,,,576,71,1,3w,,,,Aarthi Murali likes this,Likes,,2024-06-05 22:38,,,,,,,,,Thursday,2:38 AM,6/6/2024,Thursday,,Engagement,2-3am,,,,,,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.linkedin.com/in/aarthimurali/,,https://www.linkedin.com/in/aarthimurali/,MISC,,,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:07,https://www.linkedin.com/feed/update/urn:li:activity:7210636965942046721,,,,,,0,0,0,,,,,Aarthi Murali contributed to this collaborative article,Contributed to article,,2024-06-23 13:36,,,,,,,,,Sunday,5:36 PM,6/23/2024,Sunday,,Engagement,5-6pm,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.linkedin.com/in/aarthimurali/,"Proud to be a Brown graduate 👨‍🎓 and become a #Brunonian forever! I am thrilled and humbled to share that I graduated from Brown University with a master's in technology and leadership program this Memorial Day weekend!

As I proudly marched out of the iconic #VanWickle Gates, I reflected on the last one and a half years as an everlasting and extremely rewarding experience. I also reaffirmed the belief that when I am nervous and excited about something at the same time, I must do it!
Feeling accomplished and grateful to the awesome cohort, teachers, co-workers, family, friends, and Holman who supported me thru & thru on this journey successfully.

Leaving behind the all-nighters and looking forward to rolling on!!",https://www.linkedin.com/in/aarthimurali/,MISC,,Image,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:08,https://www.linkedin.com/feed/update/urn:li:activity:7205930248960389120,https://media.licdn.com/dms/image/D4E22AQHRlYmyLTrOLg/feedshare-shrink_800/0/1717109476331?e=1722470400&v=beta&t=zrxew6o9rwuv048QEqxM8MLR8cIb3h4Gq9cHM6mlIh4,,,,,167,52,0,1mo,,,,Aarthi Murali celebrates this,Celebrates,,2024-06-10 13:54,,,,,,,,,Monday,5:54 PM,6/10/2024,Monday,,Engagement,5-6pm,,,,,,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.linkedin.com/in/aarthimurali/,"We had such a great AAPI celebration! Purti Malhotra and Ashu Sharma did a fantastic job with the planning and facilitation. It was so heartwarming to hear other stories resonating with my own from, Aarthi Murali. Thankful to be part of the Holman family.",https://www.linkedin.com/in/aarthimurali/,MISC,,Image,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:08,https://www.linkedin.com/feed/update/urn:li:activity:7202712034960900096,https://media.licdn.com/dms/image/D4E10AQGlR-3OjkqFZw/image-shrink_800/0/1717164367961?e=1720458000&v=beta&t=JNJNzo2FnW3GDE4wDbOhlD4Df0Gip_udvCH4ojq1gM0,,,,,24,0,1,1mo,,,https://www.linkedin.com/feed/update/urn:li:activity:7202309412823126017/,Aarthi Murali likes this,Likes,,2024-06-01 16:46,,,,,,,,,Saturday,8:46 PM,6/1/2024,Saturday,,Engagement,8-9pm,,,,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.linkedin.com/in/aarthimurali/,"It was wonderful to speak about Humans and AI at Insurtech Insights in NYC with Aditi Javeri Gokhale. We talked about how leadership will evolve, where GenAi is and where it is going and how we as humans will live in this new world of agents and humans working together. And yes in the end we fear not and embrace this moment. We loved telling the story of our kids and how they are using AI! #tasksvsjobs #embracenotfear #humansandagents",https://www.linkedin.com/in/aarthimurali/,Leadership,Personal/Public Pictures,Image,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:08,https://www.linkedin.com/feed/update/urn:li:activity:7208799529653944321,https://media.licdn.com/dms/image/D5622AQF9CCo_NWZpMQ/feedshare-shrink_800/0/1718685569671?e=1722470400&v=beta&t=ilEicqrIK884N6vZJ3jJ3zCWt9q840_2kQ9iSKA243o,,,,,110,3,0,1w,,,,Aarthi Murali likes this,Likes,,2024-06-18 11:55,,,,,,,,,Tuesday,3:55 PM,6/18/2024,Tuesday,,Engagement,3-4pm,,,,,,113,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
https://www.linkedin.com/in/aarthimurali/,"That’s a wrap on Holman’s Potential Leader Program! Amazing cohort, met some truly awesome people.

Look forward to putting those sessions to good use!",https://www.linkedin.com/in/aarthimurali/,MISC,,Image,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:07,https://www.linkedin.com/feed/update/urn:li:activity:7206806690350907392,https://media.licdn.com/dms/image/D4E22AQFhQ9A0OcInKg/feedshare-shrink_800/0/1718236066308?e=1722470400&v=beta&t=jXh5ASrF8yMjvCocuQoMR5VB_yfZnj5xJWjo_NR_zgU,,,,,218,32,0,2w,Congrats!!,"https://www.linkedin.com/feed/update/urn:li:activity:7206804412281802752/?commentUrn=urn:li:comment:(activity:7206804412281802752,7206806671401103360)",https://www.linkedin.com/feed/update/urn:li:activity:7206804412281802752,Aarthi Murali commented on this,Comments,,2024-06-12 23:47,,,,,,,,,Thursday,3:47 AM,6/13/2024,Thursday,,Engagement,3-4am,,,,,,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.linkedin.com/in/aarthimurali/,I am delighted to announce the launch of Citi Commercial Bank in Japan bringing the total number of markets we serve in Asia to 12 markets. Our focus will be on supporting mid-sized corporates with global ambitions in Japan through every stage of their growth journey and we’re looking forward to deepening Citi’s presence in the market.,https://www.linkedin.com/in/aarthimurali/,Transactions,article/blog/company website/press release,Article,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:08,https://www.linkedin.com/feed/update/urn:li:activity:7209336638416523264,,,,,,681,10,13,1w,,,https://www.citigroup.com/global/news/press-release/2024/citi-commercial-bank-launches-in-japan,Aarthi Murali celebrates this,Celebrates,,2024-06-19 23:29,,,,,,,,,Thursday,3:29 AM,6/20/2024,Thursday,,Engagement,3-4am,,,,,,704,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
https://www.linkedin.com/in/aarthimurali/,"It was an honor to share in the celebration and announcement of M&T Bank’s commitment to a three-year renewal as co-presenting sponsor of the Pan-Mass Challenge. This remarkable organization is the world’s largest athletic fundraiser, donating 100% of rider-raised dollars to the Dana-Farber Cancer Institute. We all have a story to tell when it comes to cancer, and my hope is that these stories decrease more year over year. Great to spend time with colleagues and Billy Starr, founder and executive director of the PMC. Thank you to everyone involved in this crucial cause. Here’s to a year of breaking records and crossing the billion-dollar cumulative fundraising goal! https://lnkd.in/eU_ZKFXa",https://www.linkedin.com/in/aarthimurali/,MISC,,Image,Aarthi,Murali,M&T,Banking,Chief Customer Experience Officer,2024-07-01 16:08,https://www.linkedin.com/feed/update/urn:li:activity:7204196762775924737,https://media.licdn.com/dms/image/D4E22AQHVwY-nCSwy1A/feedshare-shrink_800/0/1719097641265?e=1722470400&v=beta&t=f2TMEMfqY9VA_l8rtJGUGb14dBfczVxxZvJkd_FYfHQ,,,,,265,8,2,3w,,,,Aarthi Murali celebrates this,Celebrates,,2024-06-05 19:05,,,,,,,,,Wednesday,11:05 PM,6/5/2024,Wednesday,,Engagement,11-12am,,,,,,275,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.linkedin.com/in/adamstowitts/,"I’m happy to share that I’m starting a new position as Director, Supply Chain Strategy & Transformation at Ball Corporation!",https://www.linkedin.com/in/adamstowitts/,MISC,celebration,Celebration,Adam,Stowitz,Ball Corporation,Consumer & Industrial Products,Global Innovation Director,2024-07-01 16:32,https://www.linkedin.com/feed/update/urn:li:activity:7205064408102752256,https://media.licdn.com/media/AAYQAQQSAAgAAQAAAAAAABqdcB5EZ18gQPCF4HzBOFBBhw.gif,,,,,255,76,0,1mo,,,,Adam Stowitts celebrates this,Celebrates,,2024-06-08 04:33,,,,,,,,,Saturday,8:33 AM,6/8/2024,Saturday,,Engagement,8-9am,,,,,,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
